issue_id,sprint,title,objective,owner_role,inputs,outputs,acceptance_criteria,effort_hours,priority,dependencies,testing_steps
ISSUE-101,S8,"One Event, One ID(모바일)","온라인 제출(/today/review)과 로컬 큐(/events)에서 동일 event_id 사용","Mobile","SessionScreen,event-logger,local-queue","SessionScreen 수정 + synced 처리 흐름","AC: 동일 카드 1회 학습이 review_log에 1회만 기록(중복률 0)","8","P0","","Unit(로컬 큐)+수동E2E(온라인/오프라인)"
ISSUE-102,S8,"/v1/events 인증 경계 잠금","/v1/events에 requireAuth 적용 + user_id 서버 강제","Backend","routes/events.ts,middleware/auth.ts","requireAuth 적용 + user_id overwrite","AC: 익명 호출 401, body.user_id가 달라도 req.userId로 저장","6","P0","","Integration(HTTP)+DB 확인"
ISSUE-103,S8,"/v1/today & /v1/today/review 인증/계약 통일","userId 쿼리 제거, requireAuth 적용, 클라이언트 연동","Backend+Mobile","routes/today.ts,mobile today-api","API 계약 변경 + 클라이언트 업데이트","AC: userId 없이도 today/review 동작, 익명 호출 401","10","P0","ISSUE-102","E2E(모바일 세션→today/review)"
ISSUE-104,S8,"Ingest 후 스케줄 재적용(replay) v1","/v1/events accepted 이벤트를 ts ASC로 card_state에 반영","Backend","card-state-service.ts,events.ts","배치 재적용 로직 + 트랜잭션","AC: 오프라인 학습→sync 완료 후 today due_ts 최신 반영","12","P0","ISSUE-102","Integration(배치 ingest)+DB 검증"
ISSUE-105,S8,"데이터 삭제/철회(DSR) 최소 구현","DELETE /v1/user/me + 모바일 진입점 제공","Backend+Mobile","backup-runbook.md 정책,auth/session,users FK","API + UI 버튼 + 확인 다이얼로그","AC: 삭제 후 토큰 무효(401), 관련 테이블 데이터 삭제/익명화 일관","12","P0","ISSUE-102","Integration(삭제 API)+수동E2E"
ISSUE-106,S9,"웹 대시보드 API 계약 정합","web api.ts 요청/응답을 백엔드 실제 계약으로 수정","Web","packages/web/src/services/api.ts,backend routes","계약 정합 + 주요 페이지 정상 로드","AC: Today/Report/Experiments 페이지 로드 성공(에러 0)","10","P1","ISSUE-103","Manual(대시보드) + smoke"
ISSUE-107,S9,"shared contract 도입(초기)","shared에 API 타입/스키마 단일 소스 구축","Fullstack","shared 패키지 구조","타입 정의 + 클라이언트/서버 적용","AC: web/mobile/backend 계약 불일치가 타입 단계에서 검출","12","P1","","Typecheck + build"
ISSUE-108,S9,"실험 variant→플랜 오버라이드 연결","experiment variant에 따라 rule-engine 파라미터 변경","Backend","experiment-service,plan-generator,rule-engine","variant 기반 플랜 오버라이드 레이어","AC: control/treatment가 서로 다른 mix/hint_steps를 받음","8","P1","","Integration(플랜) + 로그 확인"
ISSUE-109,S9,"혼동쌍 드릴 처방(세션 투입)","혼동쌍 top-k를 다음 세션 드릴로 자동 포함","Backend+Mobile","confusion-pairs,session flow","드릴 큐 생성 + UI 표시","AC: top confusion 항목의 오답 재발률 감소 관찰(7~14d)","12","P1","","A/B 전후 비교 + 로그"
ISSUE-110,S9,"push_token 저장 암호화","notification_prefs.push_token 암호화 저장 및 접근 제한","Backend","migrations/006,notifications route","암호화 유틸 + 저장/조회 변경","AC: DB 덤프에 push_token 평문이 남지 않음","10","P1","","Security review + integration"
ISSUE-111,S9,"관리자 엔드포인트 보호","aa-validate, batch 트리거 등 운영용 엔드포인트 보호","Backend","routes/experiments.ts,routes/report.ts","관리자 키/환경 플래그 기반 보호","AC: 운영 환경에서 비관리자 접근 불가","6","P1","","Integration(권한)"
